element1, element2, cn, bond_energy(eV)
Ni,Ni,0,None
Ni,Ni,1,-1.2817175976009694
Ni,Ni,2,-0.906311204829776
Ni,Ni,3,-0.7400000000000001
Ni,Ni,4,-0.6408587988004847
Ni,Ni,5,-0.5732015352386978
Ni,Ni,6,-0.5232590180780453
Ni,Ni,7,-0.48444371632390315
Ni,Ni,8,-0.453155602414888
Ni,Ni,9,-0.4272391992003231
Ni,Ni,10,-0.40531469255382296
Ni,Ni,11,-0.38645239622164923
Ni,Ni,12,-0.37000000000000005
Ni,Cu,0,None
Ni,Cu,1,-3.0938010976575114
Ni,Cu,2,-2.1876477357960105
Ni,Cu,3,-1.786206896551724
Ni,Cu,4,-1.5469005488287557
Ni,Cu,5,-1.383589912645132
Ni,Cu,6,-1.263039009153902
Ni,Cu,7,-1.16934690147149
Ni,Cu,8,-1.0938238678980052
Ni,Cu,9,-1.0312670325525037
Ni,Cu,10,-0.9783458096126758
Ni,Cu,11,-0.9328161288108773
Ni,Cu,12,-0.893103448275862
Ni,Rh,0,None
Ni,Rh,1,-2.169060549786258
Ni,Rh,2,-1.5337574235580838
Ni,Rh,3,-1.2523076923076937
Ni,Rh,4,-1.084530274893129
Ni,Rh,5,-0.9700333673270278
Ni,Rh,6,-0.8855152613628466
Ni,Rh,7,-0.8198278276250676
Ni,Rh,8,-0.7668787117790419
Ni,Rh,9,-0.723020183262086
Ni,Rh,10,-0.6859171720141626
Ni,Rh,11,-0.6539963628366378
Ni,Rh,12,-0.6261538461538468
Ni,Pd,0,None
Ni,Pd,1,-0.9023291887110825
Ni,Pd,2,-0.6380430882001623
Ni,Pd,3,-0.5209600000000001
Ni,Pd,4,-0.45116459435554124
Ni,Pd,5,-0.40353388080804325
Ni,Pd,6,-0.3683743487269439
Ni,Pd,7,-0.34104837629202783
Ni,Pd,8,-0.31902154410008116
Ni,Pd,9,-0.3007763962370275
Ni,Pd,10,-0.2853415435578914
Ni,Pd,11,-0.2720624869400411
Ni,Pd,12,-0.26048000000000004
Ni,Ag,0,None
Ni,Ag,1,-0.7220944211836444
Ni,Ag,2,-0.5105978618759299
Ni,Ag,3,-0.4169014084507041
Ni,Ag,4,-0.3610472105918222
Ni,Ag,5,-0.3229304423879986
Ni,Ag,6,-0.29479381300171553
Ni,Ag,7,-0.27292603736557913
Ni,Ag,8,-0.25529893093796496
Ni,Ag,9,-0.24069814039454815
Ni,Ag,10,-0.2283463056641255
Ni,Ag,11,-0.2177196598431826
Ni,Ag,12,-0.20845070422535206
Ni,Ir,0,None
Ni,Ir,1,-1.7746859043705738
Ni,Ir,2,-1.2548924374566135
Ni,Ir,3,-1.0246153846153854
Ni,Ir,4,-0.8873429521852869
Ni,Ir,5,-0.7936636641766588
Ni,Ir,6,-0.7245124865696015
Ni,Ir,7,-0.6707682226023277
Ni,Ir,8,-0.6274462187283067
Ni,Ir,9,-0.5915619681235246
Ni,Ir,10,-0.5612049589206782
Ni,Ir,11,-0.5350879332299762
Ni,Ir,12,-0.5123076923076927
Ni,Pt,0,None
Ni,Pt,1,-2.04028515536481
Ni,Pt,2,-1.4426994689127055
Ni,Pt,3,-1.1779591836734704
Ni,Pt,4,-1.020142577682405
Ni,Pt,5,-0.9124432601758868
Ni,Pt,6,-0.8329429267364808
Ni,Pt,7,-0.7711553035360096
Ni,Pt,8,-0.7213497344563528
Ni,Pt,9,-0.6800950517882699
Ni,Pt,10,-0.6451948167183309
Ni,Pt,11,-0.6151691205160952
Ni,Pt,12,-0.5889795918367352
Ni,Au,0,None
Ni,Au,1,3.002221399786049
Ni,Au,2,2.122891110412084
Ni,Au,3,1.7333333333333307
Ni,Au,4,1.5011106998930246
Ni,Au,5,1.3426342266852356
Ni,Au,6,1.2256517540566805
Ni,Au,7,1.1347330292271585
Ni,Au,8,1.061445555206042
Ni,Au,9,1.0007404665953497
Ni,Au,10,0.9493857663422863
Ni,Au,11,0.9052038109696273
Ni,Au,12,0.8666666666666654
Cu,Ni,0,None
Cu,Ni,1,0.4168867116148569
Cu,Ni,2,0.29478342076942593
Cu,Ni,3,0.24068965517241553
Cu,Ni,4,0.20844335580742845
Cu,Ni,5,0.18643740521743424
Cu,Ni,6,0.17019328733386682
Cu,Ni,7,0.15756836626005907
Cu,Ni,8,0.14739171038471297
Cu,Ni,9,0.1389622372049523
Cu,Ni,10,0.13183115349607197
Cu,Ni,11,0.1256960729555979
Cu,Ni,12,0.12034482758620776
Cu,Cu,0,None
Cu,Cu,1,-1.007476219735897
Cu,Cu,2,-0.712393266859441
Cu,Cu,3,-0.5816666666666668
Cu,Cu,4,-0.5037381098679485
Cu,Cu,5,-0.4505570626087962
Cu,Cu,6,-0.4113004443901752
Cu,Cu,7,-0.3807902184618067
Cu,Cu,8,-0.3561966334297205
Cu,Cu,9,-0.33582540657863236
Cu,Cu,10,-0.31859195428217163
Cu,Cu,11,-0.3037655096426928
Cu,Cu,12,-0.2908333333333334
Cu,Rh,0,None
Cu,Rh,1,-0.9245075898752942
Cu,Rh,2,-0.653725586059252
Cu,Rh,3,-0.5337647058823533
Cu,Rh,4,-0.4622537949376471
Cu,Rh,5,-0.41345236333513086
Cu,Rh,6,-0.3774286430874551
Cu,Rh,7,-0.34943102400024634
Cu,Rh,8,-0.326862793029626
Cu,Rh,9,-0.30816919662509806
Cu,Rh,10,-0.2923549698118753
Cu,Rh,11,-0.2787495264956476
Cu,Rh,12,-0.2668823529411766
Cu,Pd,0,None
Cu,Pd,1,-1.314099417046822
Cu,Pd,2,-0.9292086089470968
Cu,Pd,3,-0.7586956521739131
Cu,Pd,4,-0.657049708523411
Cu,Pd,5,-0.587683125141908
Cu,Pd,6,-0.5364788405089241
Cu,Pd,7,-0.4966828936458348
Cu,Pd,8,-0.4646043044735484
Cu,Pd,9,-0.43803313901560736
Cu,Pd,10,-0.41555472297674556
Cu,Pd,11,-0.3962158821426427
Cu,Pd,12,-0.37934782608695655
Cu,Ag,0,None
Cu,Ag,1,-0.6156799120608271
Cu,Ag,2,-0.43535144085854804
Cu,Ag,3,-0.35546296296296365
Cu,Ag,4,-0.30783995603041353
Cu,Ag,5,-0.2753404271498204
Cu,Ag,6,-0.2513502715717742
Cu,Ag,7,-0.23270513350443786
Cu,Ag,8,-0.21767572042927402
Cu,Ag,9,-0.20522663735360902
Cu,Ag,10,-0.19469508317243855
Cu,Ag,11,-0.18563447811497924
Cu,Ag,12,-0.17773148148148182
Cu,Ir,0,None
Cu,Ir,1,-0.8971686044363459
Cu,Ir,2,-0.6343940040646114
Cu,Ir,3,-0.5179805352798053
Cu,Ir,4,-0.44858430221817297
Cu,Ir,5,-0.40122599735965775
Cu,Ir,6,-0.366267549018988
Cu,Ir,7,-0.3390978587762073
Cu,Ir,8,-0.3171970020323057
Cu,Ir,9,-0.299056201478782
Cu,Ir,10,-0.2837096235213498
Cu,Ir,11,-0.2705065122365584
Cu,Ir,12,-0.2589902676399026
Cu,Pt,0,None
Cu,Pt,1,-0.5160244052305819
Cu,Pt,2,-0.3648843561962994
Cu,Pt,3,-0.297926829268293
Cu,Pt,4,-0.25801220261529095
Cu,Pt,5,-0.23077312962889582
Cu,Pt,6,-0.21066608127301678
Cu,Pt,7,-0.1950388923828768
Cu,Pt,8,-0.1824421780981497
Cu,Pt,9,-0.17200813507686064
Cu,Pt,10,-0.1631812448762344
Cu,Pt,11,-0.15558721225601352
Cu,Pt,12,-0.1489634146341465
Cu,Au,0,None
Cu,Au,1,0.35981293561995914
Cu,Au,2,0.2544261667355117
Cu,Au,3,0.20773809523809292
Cu,Au,4,0.17990646780997957
Cu,Au,5,0.1609132366459968
Cu,Au,6,0.14689301585363235
Cu,Au,7,0.13599650659350085
Cu,Au,8,0.12721308336775586
Cu,Au,9,0.11993764520665305
Cu,Au,10,0.11378284081506
Cu,Au,11,0.10848768201524618
Cu,Au,12,0.10386904761904646
Rh,Ni,0,None
Rh,Ni,1,-0.5107329304369765
Rh,Ni,2,-0.36114271848726337
Rh,Ni,3,-0.2948717948717948
Rh,Ni,4,-0.25536646521848827
Rh,Ni,5,-0.22840671016095018
Rh,Ni,6,-0.20850584573449477
Rh,Ni,7,-0.19303890290107015
Rh,Ni,8,-0.18057135924363168
Rh,Ni,9,-0.17024431014565886
Rh,Ni,10,-0.16150793362331817
Rh,Ni,11,-0.1539917725761942
Rh,Ni,12,-0.1474358974358974
Rh,Cu,0,None
Rh,Cu,1,-1.796578190595953
Rh,Cu,2,-1.270372621502256
Rh,Cu,3,-1.0372549019607844
Rh,Cu,4,-0.8982890952979765
Rh,Cu,5,-0.8034541922132248
Rh,Cu,6,-0.7334499749954582
Rh,Cu,7,-0.6790427290284703
Rh,Cu,8,-0.635186310751128
Rh,Cu,9,-0.5988593968653176
Rh,Cu,10,-0.568127907686731
Rh,Cu,11,-0.5416887058856715
Rh,Cu,12,-0.5186274509803922
Rh,Rh,0,None
Rh,Rh,1,-1.6598820239201741
Rh,Rh,2,-1.173713835083606
Rh,Rh,3,-0.9583333333333335
Rh,Rh,4,-0.8299410119600871
Rh,Rh,5,-0.7423218080230882
Rh,Rh,6,-0.6776439986371081
Rh,Rh,7,-0.6273764344284781
Rh,Rh,8,-0.586856917541803
Rh,Rh,9,-0.5532940079733913
Rh,Rh,10,-0.5249007842757842
Rh,Rh,11,-0.5004732608726313
Rh,Rh,12,-0.47916666666666674
Rh,Pd,0,None
Rh,Pd,1,-1.5192140557913458
Rh,Pd,2,-1.0742465609239784
Rh,Pd,3,-0.8771186440677967
Rh,Pd,4,-0.7596070278956729
Rh,Pd,5,-0.6794131802245215
Rh,Pd,6,-0.6202165411254889
Rh,Pd,7,-0.5742089399853867
Rh,Pd,8,-0.5371232804619892
Rh,Pd,9,-0.5064046852637819
Rh,Pd,10,-0.48041766696427707
Rh,Pd,11,-0.4580602726630863
Rh,Pd,12,-0.43855932203389836
Rh,Ag,0,None
Rh,Ag,1,-2.186186080285107
Rh,Ag,2,-1.5458670023052372
Rh,Ag,3,-1.2621951219512195
Rh,Ag,4,-1.0930930401425536
Rh,Ag,5,-0.9776921373962625
Rh,Ag,6,-0.8925067299122886
Rh,Ag,7,-0.8263006697350687
Rh,Ag,8,-0.7729335011526186
Rh,Ag,9,-0.7287286934283691
Rh,Ag,10,-0.6913327402656669
Rh,Ag,11,-0.6591599045639533
Rh,Ag,12,-0.6310975609756098
Rh,Ir,0,None
Rh,Ir,1,-1.8514068728340425
Rh,Ir,2,-1.3091423545163314
Rh,Ir,3,-1.0689102564102577
Rh,Ir,4,-0.9257034364170212
Rh,Ir,5,-0.8279743243334455
Rh,Ir,6,-0.7558336907875446
Rh,Ir,7,-0.6997660230163802
Rh,Ir,8,-0.6545711772581657
Rh,Ir,9,-0.6171356242780142
Rh,Ir,10,-0.5854662593845291
Rh,Ir,11,-0.5582201755887047
Rh,Ir,12,-0.5344551282051289
Rh,Pt,0,None
Rh,Pt,1,3.3197640478403136
Rh,Pt,2,2.3474276701671877
Rh,Pt,3,1.9166666666666468
Rh,Pt,4,1.6598820239201568
Rh,Pt,5,1.484643616046161
Rh,Pt,6,1.355287997274202
Rh,Pt,7,1.2547528688569431
Rh,Pt,8,1.1737138350835938
Rh,Pt,9,1.1065880159467711
Rh,Pt,10,1.0498015685515574
Rh,Pt,11,1.0009465217452522
Rh,Pt,12,0.9583333333333234
Rh,Au,0,None
Rh,Au,1,-0.42155733940829937
Rh,Au,2,-0.29808605335456745
Rh,Au,3,-0.2433862433862441
Rh,Au,4,-0.21077866970414968
Rh,Au,5,-0.18852617346618167
Rh,Au,6,-0.1721000631459327
Rh,Au,7,-0.1593336976326298
Rh,Au,8,-0.14904302667728372
Rh,Au,9,-0.1405191131360998
Rh,Au,10,-0.13330813568908842
Rh,Au,11,-0.127104320221621
Rh,Au,12,-0.12169312169312205
Pd,Ni,0,None
Pd,Ni,1,-1.455338370551674
Pd,Ni,2,-1.0290796307380692
Pd,Ni,3,-0.8402400000000004
Pd,Ni,4,-0.727669185275837
Pd,Ni,5,-0.6508471053634642
Pd,Ni,6,-0.594139401824185
Pd,Ni,7,-0.5500662002756709
Pd,Ni,8,-0.5145398153690346
Pd,Ni,9,-0.48511279018389136
Pd,Ni,10,-0.46021840171814093
Pd,Ni,11,-0.4388010289206468
Pd,Ni,12,-0.4201200000000002
Pd,Cu,0,None
Pd,Cu,1,-0.7811800163991808
Pd,Cu,2,-0.552377686923279
Pd,Cu,3,-0.4510144927536233
Pd,Cu,4,-0.3905900081995904
Pd,Cu,5,-0.3493543238665937
Pd,Cu,6,-0.31891540623949804
Pd,Cu,7,-0.2952582932236558
Pd,Cu,8,-0.2761888434616395
Pd,Cu,9,-0.2603933387997269
Pd,Cu,10,-0.24703081144290975
Pd,Cu,11,-0.23553463710179642
Pd,Cu,12,-0.22550724637681166
Pd,Rh,0,None
Pd,Rh,1,-1.2181112120122815
Pd,Rh,2,-0.8613346982532485
Pd,Rh,3,-0.703276836158192
Pd,Rh,4,-0.6090556060061407
Pd,Rh,5,-0.5447558948428239
Pd,Rh,6,-0.49729181989887816
Pd,Rh,7,-0.460402762314853
Pd,Rh,8,-0.43066734912662424
Pd,Rh,9,-0.4060370706707605
Pd,Rh,10,-0.3852005873347066
Pd,Rh,11,-0.3672743493790723
Pd,Rh,12,-0.351638418079096
Pd,Pd,0,None
Pd,Pd,1,-1.1229462735738223
Pd,Pd,2,-0.7940429249522136
Pd,Pd,3,-0.6483333333333334
Pd,Pd,4,-0.5614731367869111
Pd,Pd,5,-0.5021968405582284
Pd,Pd,6,-0.45844089646927844
Pd,Pd,7,-0.4244337965090052
Pd,Pd,8,-0.3970214624761068
Pd,Pd,9,-0.3743154245246074
Pd,Pd,10,-0.3551067914491827
Pd,Pd,11,-0.33858104083383234
Pd,Pd,12,-0.3241666666666667
Pd,Ag,0,None
Pd,Ag,1,0.5822684381493887
Pd,Ag,2,0.4117259610863325
Pd,Ag,3,0.33617283950617255
Pd,Ag,4,0.29113421907469433
Pd,Ag,5,0.26039836177093295
Pd,Ag,6,0.2377100944655515
Pd,Ag,7,0.2200767833750395
Pd,Ag,8,0.20586298054316626
Pd,Ag,9,0.19408947938312957
Pd,Ag,10,0.18412944741809453
Pd,Ag,11,0.17556053969161659
Pd,Ag,12,0.16808641975308627
Pd,Ir,0,None
Pd,Ir,1,-1.2063090973762463
Pd,Ir,2,-0.852989342961767
Pd,Ir,3,-0.6964628820960703
Pd,Ir,4,-0.6031545486881231
Pd,Ir,5,-0.53947782872194
Pd,Ir,6,-0.49247362677485823
Pd,Ir,7,-0.4559419822760495
Pd,Ir,8,-0.4264946714808835
Pd,Ir,9,-0.40210303245874873
Pd,Ir,10,-0.38146843098907857
Pd,Ir,11,-0.3637158779263004
Pd,Ir,12,-0.34823144104803516
Pd,Pt,0,None
Pd,Pt,1,-1.161668558869472
Pd,Pt,2,-0.8214237154678077
Pd,Pt,3,-0.6706896551724143
Pd,Pt,4,-0.580834279434736
Pd,Pt,5,-0.5195139729912711
Pd,Pt,6,-0.4742492032440814
Pd,Pt,7,-0.4390694446644884
Pd,Pt,8,-0.41071185773390384
Pd,Pt,9,-0.38722285295649067
Pd,Pt,10,-0.36735185322329267
Pd,Pt,11,-0.35025624913844744
Pd,Pt,12,-0.33534482758620715
Pd,Au,0,None
Pd,Au,1,-1.5150862421234104
Pd,Au,2,-1.0713277558879069
Pd,Au,3,-0.8747354497354496
Pd,Au,4,-0.7575431210617052
Pd,Au,5,-0.6775671658325302
Pd,Au,6,-0.6185313682522008
Pd,Au,7,-0.5726487730677052
Pd,Au,8,-0.5356638779439534
Pd,Au,9,-0.5050287473744701
Pd,Au,10,-0.47911233766953204
Pd,Au,11,-0.4568156900139006
Pd,Au,12,-0.4373677248677248
