element1, element2, cn, bond_energy(eV)
Ag,Ni,0,None
Ag,Ni,1,-1.223413352106749
Ag,Ni,2,-0.8650838774688475
Ag,Ni,3,-0.7063380281690139
Ag,Ni,4,-0.6117066760533745
Ag,Ni,5,-0.5471270839783152
Ag,Ni,6,-0.4994564095282444
Ag,Ni,7,-0.4624067829014795
Ag,Ni,8,-0.43254193873442376
Ag,Ni,9,-0.40780445070224963
Ag,Ni,10,-0.38687727125188837
Ag,Ni,11,-0.36887300476809487
Ag,Ni,12,-0.35316901408450696
Ag,Cu,0,None
Ag,Cu,1,-1.1827661764648583
Ag,Cu,2,-0.8363419839363859
Ag,Cu,3,-0.6828703703703703
Ag,Cu,4,-0.5913830882324291
Ag,Cu,5,-0.528949114412587
Ag,Cu,6,-0.4828622695602582
Ag,Cu,7,-0.44704359458067877
Ag,Cu,8,-0.41817099196819296
Ag,Cu,9,-0.39425539215495276
Ag,Cu,10,-0.3740235057037592
Ag,Cu,11,-0.35661742018701986
Ag,Cu,12,-0.3414351851851852
Ag,Rh,0,None
Ag,Rh,1,-0.5815747833544276
Ag,Rh,2,-0.41123547307701297
Ag,Rh,3,-0.33577235772357705
Ag,Rh,4,-0.2907873916772138
Ag,Rh,5,-0.2600881499160426
Ag,Rh,6,-0.23742691108133657
Ag,Rh,7,-0.2198146065060117
Ag,Rh,8,-0.20561773653850648
Ag,Rh,9,-0.19385826111814253
Ag,Rh,10,-0.18391009451189713
Ag,Rh,11,-0.17535139490171506
Ag,Rh,12,-0.16788617886178853
Ag,Pd,0,None
Ag,Pd,1,-2.1447493333229435
Ag,Pd,2,-1.5165667975379802
Ag,Pd,3,-1.2382716049382718
Ag,Pd,4,-1.0723746666614717
Ag,Pd,5,-0.9591610608014912
Ag,Pd,6,-0.8755902488026017
Ag,Pd,7,-0.8106390515062977
Ag,Pd,8,-0.7582833987689901
Ag,Pd,9,-0.7149164444409811
Ag,Pd,10,-0.6782292903428169
Ag,Pd,11,-0.6466662552724628
Ag,Pd,12,-0.6191358024691359
Ag,Ag,0,None
Ag,Ag,1,-0.8515916470546981
Ag,Ag,2,-0.602166228434198
Ag,Ag,3,-0.49166666666666675
Ag,Ag,4,-0.42579582352734907
Ag,Ag,5,-0.3808433623770627
Ag,Ag,6,-0.34766083408338594
Ag,Ag,7,-0.3218713880980888
Ag,Ag,8,-0.301083114217099
Ag,Ag,9,-0.28386388235156607
Ag,Ag,10,-0.2692969241067067
Ag,Ag,11,-0.25676454253465436
Ag,Ag,12,-0.24583333333333338
Ag,Ir,0,None
Ag,Ir,1,-0.5255537021823289
Ag,Ir,2,-0.37162258669082
Ag,Ir,3,-0.303428571428572
Ag,Ir,4,-0.26277685109116444
Ag,Ir,5,-0.2350347607812734
Ag,Ir,6,-0.21455640046288998
Ag,Ir,7,-0.19864062808339228
Ag,Ir,8,-0.18581129334541
Ag,Ir,9,-0.17518456739410962
Ag,Ir,10,-0.1661946731629964
Ag,Ir,11,-0.15846040339281553
Ag,Ir,12,-0.151714285714286
Ag,Pt,0,None
Ag,Pt,1,-0.042579582352735394
Ag,Pt,2,-0.030108311421710245
Ag,Pt,3,-0.02458333333333362
Ag,Pt,4,-0.021289791176367697
Ag,Pt,5,-0.019042168118853352
Ag,Pt,6,-0.017383041704169495
Ag,Pt,7,-0.016093569404904626
Ag,Pt,8,-0.015054155710855123
Ag,Pt,9,-0.014193194117578465
Ag,Pt,10,-0.013464846205335489
Ag,Pt,11,-0.012838227126732864
Ag,Pt,12,-0.01229166666666681
Ag,Au,0,None
Ag,Au,1,-0.6120814963205643
Ag,Au,2,-0.43280697668707985
Ag,Au,3,-0.35338541666666673
Ag,Au,4,-0.30604074816028215
Ag,Au,5,-0.27373116670851383
Ag,Au,6,-0.24988122449743366
Ag,Au,7,-0.23134506019550133
Ag,Au,8,-0.21640348834353992
Ag,Au,9,-0.2040271654401881
Ag,Au,10,-0.19355716420169544
Ag,Au,11,-0.18454951494678282
Ag,Au,12,-0.17669270833333336
Ir,Ni,0,None
Ir,Ni,1,-1.2328648825156934
Ir,Ni,2,-0.8717671187136029
Ir,Ni,3,-0.711794871794872
Ir,Ni,4,-0.6164324412578467
Ir,Ni,5,-0.5513539368754764
Ir,Ni,6,-0.5033149806599632
Ir,Ni,7,-0.46597912561162685
Ir,Ni,8,-0.43588355935680145
Ir,Ni,9,-0.4109549608385645
Ir,Ni,10,-0.38986610759854906
Ir,Ni,11,-0.3717227484100133
Ir,Ni,12,-0.355897435897436
Ir,Cu,0,None
Ir,Cu,1,-2.2227563940246444
Ir,Cu,2,-1.5717261191405836
Ir,Cu,3,-1.2833090024330904
Ir,Cu,4,-1.1113781970123222
Ir,Cu,5,-0.9940468788922824
Ir,Cu,6,-0.9074364979781818
Ir,Cu,7,-0.840122949095415
Ir,Cu,8,-0.7858630595702918
Ir,Cu,9,-0.7409187980082148
Ir,Cu,10,-0.7028972888820556
Ir,Cu,11,-0.6701862690311919
Ir,Cu,12,-0.6416545012165452
Ir,Rh,0,None
Ir,Rh,1,-1.7722432686163085
Ir,Rh,2,-1.2531652331508039
Ir,Rh,3,-1.023205128205128
Ir,Rh,4,-0.8861216343081543
Ir,Rh,5,-0.7925712842584971
Ir,Rh,6,-0.7235152846986967
Ir,Rh,7,-0.6698449930667134
Ir,Rh,8,-0.6265826165754019
Ir,Rh,9,-0.5907477562054362
Ir,Rh,10,-0.560432529672914
Ir,Rh,11,-0.534351450839394
Ir,Rh,12,-0.511602564102564
Ir,Pd,0,None
Ir,Pd,1,-1.8546810132168396
Ir,Pd,2,-1.311457521383564
Ir,Pd,3,-1.0708005822416302
Ir,Pd,4,-0.9273405066084198
Ir,Pd,5,-0.8294385644262078
Ir,Pd,6,-0.7571703530015602
Ir,Pd,7,-0.7010035317607224
Ir,Pd,8,-0.655728760691782
Ir,Pd,9,-0.6182270044056132
Ir,Pd,10,-0.5865016334834067
Ir,Pd,11,-0.5592073660578584
Ir,Pd,12,-0.5354002911208151
Ir,Ag,0,None
Ir,Ag,1,-2.770423514567408
Ir,Ag,2,-1.9589852539092818
Ir,Ag,3,-1.5995047619047622
Ir,Ag,4,-1.385211757283704
Ir,Ag,5,-1.2389710610073206
Ir,Ag,6,-1.1310206636830316
Ir,Ag,7,-1.0471216636958414
Ir,Ag,8,-0.9794926269546409
Ir,Ag,9,-0.9234745048558026
Ir,Ag,10,-0.876084838932168
Ir,Ag,11,-0.8353141189270726
Ir,Ag,12,-0.7997523809523811
Ir,Ir,0,None
Ir,Ir,1,-2.0034054340880014
Ir,Ir,2,-1.4166215679096046
Ir,Ir,3,-1.1566666666666667
Ir,Ir,4,-1.0017027170440007
Ir,Ir,5,-0.8959501474226491
Ir,Ir,6,-0.81788684357244
Ir,Ir,7,-0.7572160791188935
Ir,Ir,8,-0.7083107839548023
Ir,Ir,9,-0.6678018113626671
Ir,Ir,10,-0.6335324248476422
Ir,Ir,11,-0.6040494661662715
Ir,Ir,12,-0.5783333333333334
Ir,Pt,0,None
Ir,Pt,1,-1.5298732405762923
Ir,Pt,2,-1.0817837427673347
Ir,Pt,3,-0.8832727272727274
Ir,Pt,4,-0.7649366202881461
Ir,Pt,5,-0.6841801125772957
Ir,Pt,6,-0.6245681350916816
Ir,Pt,7,-0.578237733145337
Ir,Pt,8,-0.5408918713836673
Ir,Pt,9,-0.509957746858764
Ir,Pt,10,-0.48378839715638133
Ir,Pt,11,-0.46127413779969834
Ir,Pt,12,-0.4416363636363637
Ir,Au,0,None
Ir,Au,1,-0.8510040781966736
Ir,Au,2,-0.6017507545102748
Ir,Au,3,-0.4913274336283188
Ir,Au,4,-0.4255020390983368
Ir,Au,5,-0.3805805935954617
Ir,Au,6,-0.3474209601015676
Ir,Au,7,-0.3216493079443089
Ir,Au,8,-0.3008753772551374
Ir,Au,9,-0.28366802606555785
Ir,Au,10,-0.26911111851935254
Ir,Au,11,-0.25658738385823937
Ir,Au,12,-0.2456637168141594
Pt,Ni,0,None
Pt,Ni,1,-0.6881072596055953
Pt,Ni,2,-0.48656530945080845
Pt,Ni,3,-0.39727891156462614
Pt,Ni,4,-0.34405362980279763
Pt,Ni,5,-0.3077309216578412
Pt,Ni,6,-0.28091861238975785
Pt,Ni,7,-0.26008009775065233
Pt,Ni,8,-0.24328265472540422
Pt,Ni,9,-0.2293690865351984
Pt,Ni,10,-0.21759862148504572
Pt,Ni,11,-0.20747214505740327
Pt,Ni,12,-0.19863945578231307
Pt,Cu,0,None
Pt,Cu,1,-2.5082348767818576
Pt,Cu,2,-1.7735898901810558
Pt,Cu,3,-1.4481300813008133
Pt,Cu,4,-1.2541174383909288
Pt,Cu,5,-1.1217167376040085
Pt,Cu,6,-1.0239826005280315
Pt,Cu,7,-0.9480236733862187
Pt,Cu,8,-0.8867949450905279
Pt,Cu,9,-0.8360782922606192
Pt,Cu,10,-0.7931735117302455
Pt,Cu,11,-0.7562612702153392
Pt,Cu,12,-0.7240650406504067
Pt,Rh,0,None
Pt,Rh,1,-6.743451144134759
Pt,Rh,2,-4.76834003261787
Pt,Rh,3,-3.893333333333293
Pt,Rh,4,-3.3717255720673793
Pt,Rh,5,-3.0157630322468103
Pt,Rh,6,-2.7530024014195966
Pt,Rh,7,-2.5487849579563644
Pt,Rh,8,-2.384170016308935
Pt,Rh,9,-2.2478170480449196
Pt,Rh,10,-2.1324664905534245
Pt,Rh,11,-2.0332270215625297
Pt,Rh,12,-1.9466666666666466
Pt,Pd,0,None
Pt,Pd,1,-1.6277295865153034
Pt,Pd,2,-1.150978628562946
Pt,Pd,3,-0.9397701149425287
Pt,Pd,4,-0.8138647932576517
Pt,Pd,5,-0.7279428008871687
Pt,Pd,6,-0.6645178210323233
Pt,Pd,7,-0.6152239553687839
Pt,Pd,8,-0.575489314281473
Pt,Pd,9,-0.5425765288384344
Pt,Pd,10,-0.5147332908232457
Pt,Pd,11,-0.49077893623923635
Pt,Pd,12,-0.46988505747126436
Pt,Ag,0,None
Pt,Ag,1,-3.2874324327657294
Pt,Ag,2,-2.324565765901236
Pt,Ag,3,-1.8980000000000004
Pt,Ag,4,-1.6437162163828647
Pt,Ag,5,-1.4701844782203355
Pt,Ag,6,-1.3420886706920674
Pt,Ag,7,-1.2425326670037407
Pt,Ag,8,-1.162282882950618
Pt,Ag,9,-1.0958108109219098
Pt,Ag,10,-1.0395774141448053
Pt,Ag,11,-0.9911981730117436
Pt,Ag,12,-0.9490000000000002
Pt,Ir,0,None
Pt,Ir,1,-2.084339444550767
Pt,Ir,2,-1.473850555536449
Pt,Ir,3,-1.2033939393939403
Pt,Ir,4,-1.0421697222753834
Pt,Ir,5,-0.9321449372399336
Pt,Ir,6,-0.8509280149842484
Pt,Ir,7,-0.7878062597319759
Pt,Ir,8,-0.7369252777682245
Pt,Ir,9,-0.6947798148502556
Pt,Ir,10,-0.6591260061710658
Pt,Ir,11,-0.6284519884829707
Pt,Ir,12,-0.6016969696969702
Pt,Pt,0,None
Pt,Pt,1,-1.6858627860337072
Pt,Pt,2,-1.1920850081544798
Pt,Pt,3,-0.9733333333333334
Pt,Pt,4,-0.8429313930168536
Pt,Pt,5,-0.7539407580617105
Pt,Pt,6,-0.6882506003549063
Pt,Pt,7,-0.6371962394890978
Pt,Pt,8,-0.5960425040772399
Pt,Pt,9,-0.5619542620112358
Pt,Pt,10,-0.5331166226383617
Pt,Pt,11,-0.5083067553906376
Pt,Pt,12,-0.4866666666666667
Pt,Au,0,None
Pt,Au,1,-0.813864793257652
Pt,Au,2,-0.5754893142814732
Pt,Au,3,-0.4698850574712646
Pt,Au,4,-0.406932396628826
Pt,Au,5,-0.3639714004435845
Pt,Au,6,-0.3322589105161618
Pt,Au,7,-0.30761197768439213
Pt,Au,8,-0.2877446571407366
Pt,Au,9,-0.27128826441921733
Pt,Au,10,-0.25736664541162296
Pt,Au,11,-0.2453894681196183
Pt,Au,12,-0.2349425287356323
Au,Ni,0,None
Au,Ni,1,-4.775935051104563
Au,Ni,2,-3.3770960611425567
Au,Ni,3,-2.7573873873873884
Au,Ni,4,-2.3879675255522814
Au,Ni,5,-2.135863086078747
Au,Ni,6,-1.9497673199798802
Au,Ni,7,-1.8051337747170326
Au,Ni,8,-1.6885480305712783
Au,Ni,9,-1.5919783503681877
Au,Ni,10,-1.5102832718523085
Au,Ni,11,-1.439998598874607
Au,Ni,12,-1.3786936936936942
Au,Cu,0,None
Au,Cu,1,-2.592508905186129
Au,Cu,2,-1.833180627143624
Au,Cu,3,-1.4967857142857137
Au,Cu,4,-1.2962544525930646
Au,Cu,5,-1.1594052288539483
Au,Cu,6,-1.0583873285545784
Au,Cu,7,-0.9798762621204039
Au,Cu,8,-0.916590313571812
Au,Cu,9,-0.864169635062043
Au,Cu,10,-0.8198232994657679
Au,Cu,11,-0.7816708458324957
Au,Cu,12,-0.7483928571428569
Au,Rh,0,None
Au,Rh,1,-1.9203769668045403
Au,Rh,2,-1.3579115756619438
Au,Rh,3,-1.1087301587301583
Au,Rh,4,-0.9601884834022701
Au,Rh,5,-0.8588186880399618
Au,Rh,6,-0.7839906137441323
Au,Rh,7,-0.7258342682373363
Au,Rh,8,-0.6789557878309719
Au,Rh,9,-0.6401256556015135
Au,Rh,10,-0.607276518122791
Au,Rh,11,-0.5790154413574042
Au,Rh,12,-0.5543650793650792
Au,Pd,0,None
Au,Pd,1,-0.7157768694453288
Au,Pd,2,-0.5061306782012701
Au,Pd,3,-0.4132539682539682
Au,Pd,4,-0.3578884347226644
Au,Pd,5,-0.32010514736034945
Au,Pd,6,-0.2922146833046312
Au,Pd,7,-0.27053822725209814
Au,Pd,8,-0.25306533910063506
Au,Pd,9,-0.2385922898151096
Au,Pd,10,-0.2263485203912222
Au,Pd,11,-0.21581484632412345
Au,Pd,12,-0.2066269841269841
Au,Ag,0,None
Au,Ag,1,-1.4091857117204922
Au,Ag,2,-0.9964447727087513
Au,Ag,3,-0.8135937500000006
Au,Ag,4,-0.7045928558602461
Au,Ag,5,-0.6302070088656885
Au,Ag,6,-0.5752976577559931
Au,Ag,7,-0.5326221349025686
Au,Ag,8,-0.49822238635437566
Au,Ag,9,-0.46972857057349743
Au,Ag,10,-0.44562364952021905
Au,Ag,11,-0.42488547870061844
Au,Ag,12,-0.4067968750000003
Au,Ir,0,None
Au,Ir,1,-1.732510644066462
Au,Ir,2,-1.2250700248972681
Au,Ir,3,-1.0002654867256637
Au,Ir,4,-0.866255322033231
Au,Ir,5,-0.7748023143749103
Au,Ir,6,-0.7072945086505794
Au,Ir,7,-0.6548274725674571
Au,Ir,8,-0.6125350124486341
Au,Ir,9,-0.577503548022154
Au,Ir,10,-0.5478679705735303
Au,Ir,11,-0.5223716137877662
Au,Ir,12,-0.5001327433628319
Au,Pt,0,None
Au,Pt,1,-1.6687413642577404
Au,Pt,2,-1.1799783347131387
Au,Pt,3,-0.9634482758620698
Au,Pt,4,-0.8343706821288702
Au,Pt,5,-0.746283825469209
Au,Pt,6,-0.6812608091845571
Au,Pt,7,-0.6307249503303757
Au,Pt,8,-0.5899891673565694
Au,Pt,9,-0.5562471214192468
Au,Pt,10,-0.5277023536791157
Au,Pt,11,-0.5031444524898829
Au,Pt,12,-0.4817241379310349
Au,Au,0,None
Au,Au,1,-1.0998522628062373
Au,Au,2,-0.7777129933336592
Au,Au,3,-0.6350000000000001
Au,Au,4,-0.5499261314031186
Au,Au,5,-0.491868884968342
Au,Au,6,-0.4490128060534578
Au,Au,7,-0.41570508089956554
Au,Au,8,-0.3888564966668296
Au,Au,9,-0.36661742093541244
Au,Au,10,-0.3478038240157805
Au,Au,11,-0.33161793459560446
Au,Au,12,-0.31750000000000006
